"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.03.2016 23:15 - 01.03.2016 23:30","53414","55953"
"01.03.2016 23:30 - 01.03.2016 23:45","52387","54947"
"01.03.2016 23:45 - 02.03.2016 00:00","51540","54437"
"02.03.2016 00:00 - 02.03.2016 00:15","51699","53680"
"02.03.2016 00:15 - 02.03.2016 00:30","50527","52878"
"02.03.2016 00:30 - 02.03.2016 00:45","50006","51950"
"02.03.2016 00:45 - 02.03.2016 01:00","49502","51265"
"02.03.2016 01:00 - 02.03.2016 01:15","48878","50994"
"02.03.2016 01:15 - 02.03.2016 01:30","48363","50408"
"02.03.2016 01:30 - 02.03.2016 01:45","48416","50238"
"02.03.2016 01:45 - 02.03.2016 02:00","48156","49963"
"02.03.2016 02:00 - 02.03.2016 02:15","47704","49338"
"02.03.2016 02:15 - 02.03.2016 02:30","47476","49038"
"02.03.2016 02:30 - 02.03.2016 02:45","47377","49016"
"02.03.2016 02:45 - 02.03.2016 03:00","47533","49155"
"02.03.2016 03:00 - 02.03.2016 03:15","47501","49258"
"02.03.2016 03:15 - 02.03.2016 03:30","47520","49243"
"02.03.2016 03:30 - 02.03.2016 03:45","47623","49412"
"02.03.2016 03:45 - 02.03.2016 04:00","47593","49458"
"02.03.2016 04:00 - 02.03.2016 04:15","48025","49822"
"02.03.2016 04:15 - 02.03.2016 04:30","48184","49968"
"02.03.2016 04:30 - 02.03.2016 04:45","48873","50500"
"02.03.2016 04:45 - 02.03.2016 05:00","49129","51011"
"02.03.2016 05:00 - 02.03.2016 05:15","50669","52195"
"02.03.2016 05:15 - 02.03.2016 05:30","50458","52793"
"02.03.2016 05:30 - 02.03.2016 05:45","51932","54032"
"02.03.2016 05:45 - 02.03.2016 06:00","53323","55114"
"02.03.2016 06:00 - 02.03.2016 06:15","55842","57832"
"02.03.2016 06:15 - 02.03.2016 06:30","58150","60667"
"02.03.2016 06:30 - 02.03.2016 06:45","60440","62642"
"02.03.2016 06:45 - 02.03.2016 07:00","61664","63986"
"02.03.2016 07:00 - 02.03.2016 07:15","63230","65442"
"02.03.2016 07:15 - 02.03.2016 07:30","64033","66440"
"02.03.2016 07:30 - 02.03.2016 07:45","64832","67069"
"02.03.2016 07:45 - 02.03.2016 08:00","65292","67964"
"02.03.2016 08:00 - 02.03.2016 08:15","66212","68686"
"02.03.2016 08:15 - 02.03.2016 08:30","66695","69003"
"02.03.2016 08:30 - 02.03.2016 08:45","66927","69149"
"02.03.2016 08:45 - 02.03.2016 09:00","66919","69088"
"02.03.2016 09:00 - 02.03.2016 09:15","66782","69164"
"02.03.2016 09:15 - 02.03.2016 09:30","66830","69471"
"02.03.2016 09:30 - 02.03.2016 09:45","67190","69906"
"02.03.2016 09:45 - 02.03.2016 10:00","67449","70236"
"02.03.2016 10:00 - 02.03.2016 10:15","67675","70395"
"02.03.2016 10:15 - 02.03.2016 10:30","67819","70847"
"02.03.2016 10:30 - 02.03.2016 10:45","68073","71002"
"02.03.2016 10:45 - 02.03.2016 11:00","68232","71476"
"02.03.2016 11:00 - 02.03.2016 11:15","68338","71760"
"02.03.2016 11:15 - 02.03.2016 11:30","68552","71887"
"02.03.2016 11:30 - 02.03.2016 11:45","68471","71459"
"02.03.2016 11:45 - 02.03.2016 12:00","68071","71320"
"02.03.2016 12:00 - 02.03.2016 12:15","67636","70800"
"02.03.2016 12:15 - 02.03.2016 12:30","68104","70663"
"02.03.2016 12:30 - 02.03.2016 12:45","67203","70658"
"02.03.2016 12:45 - 02.03.2016 13:00","67506","70787"
"02.03.2016 13:00 - 02.03.2016 13:15","68060","71104"
"02.03.2016 13:15 - 02.03.2016 13:30","66701","70845"
"02.03.2016 13:30 - 02.03.2016 13:45","67303","70537"
"02.03.2016 13:45 - 02.03.2016 14:00","66891","69968"
"02.03.2016 14:00 - 02.03.2016 14:15","65858","69967"
"02.03.2016 14:15 - 02.03.2016 14:30","65850","69732"
"02.03.2016 14:30 - 02.03.2016 14:45","65763","69849"
"02.03.2016 14:45 - 02.03.2016 15:00","65992","69698"
"02.03.2016 15:00 - 02.03.2016 15:15","65650","69862"
"02.03.2016 15:15 - 02.03.2016 15:30","65477","69562"
"02.03.2016 15:30 - 02.03.2016 15:45","65190","69039"
"02.03.2016 15:45 - 02.03.2016 16:00","64297","68444"
"02.03.2016 16:00 - 02.03.2016 16:15","64575","67889"
"02.03.2016 16:15 - 02.03.2016 16:30","64192","67551"
"02.03.2016 16:30 - 02.03.2016 16:45","64135","67012"
"02.03.2016 16:45 - 02.03.2016 17:00","64471","66898"
"02.03.2016 17:00 - 02.03.2016 17:15","64933","67224"
"02.03.2016 17:15 - 02.03.2016 17:30","65090","67392"
"02.03.2016 17:30 - 02.03.2016 17:45","65633","67496"
"02.03.2016 17:45 - 02.03.2016 18:00","66527","68140"
"02.03.2016 18:00 - 02.03.2016 18:15","67132","68562"
"02.03.2016 18:15 - 02.03.2016 18:30","67949","69720"
"02.03.2016 18:30 - 02.03.2016 18:45","68961","70694"
"02.03.2016 18:45 - 02.03.2016 19:00","68997","70668"
"02.03.2016 19:00 - 02.03.2016 19:15","68932","70386"
"02.03.2016 19:15 - 02.03.2016 19:30","68037","69903"
"02.03.2016 19:30 - 02.03.2016 19:45","67881","69013"
"02.03.2016 19:45 - 02.03.2016 20:00","67442","68284"
"02.03.2016 20:00 - 02.03.2016 20:15","65712","67118"
"02.03.2016 20:15 - 02.03.2016 20:30","64371","65471"
"02.03.2016 20:30 - 02.03.2016 20:45","63256","64280"
"02.03.2016 20:45 - 02.03.2016 21:00","62506","63269"
"02.03.2016 21:00 - 02.03.2016 21:15","61469","62703"
"02.03.2016 21:15 - 02.03.2016 21:30","60900","61860"
"02.03.2016 21:30 - 02.03.2016 21:45","60229","61239"
"02.03.2016 21:45 - 02.03.2016 22:00","59564","60297"
"02.03.2016 22:00 - 02.03.2016 22:15","59272","60278"
"02.03.2016 22:15 - 02.03.2016 22:30","58683","59616"
"02.03.2016 22:30 - 02.03.2016 22:45","57648","58410"
"02.03.2016 22:45 - 02.03.2016 23:00","56256","57125"
"02.03.2016 23:00 - 02.03.2016 23:15","55077","55888"
"02.03.2016 23:15 - 02.03.2016 23:30","54116","54827"
"02.03.2016 23:30 - 02.03.2016 23:45","52887","53789"
"02.03.2016 23:45 - 03.03.2016 00:00","52266","52945"
"03.03.2016 00:00 - 03.03.2016 00:15","51474","51745"
"03.03.2016 00:15 - 03.03.2016 00:30","50274","50992"
"03.03.2016 00:30 - 03.03.2016 00:45","49534","50343"
"03.03.2016 00:45 - 03.03.2016 01:00","48981","49794"
"03.03.2016 01:00 - 03.03.2016 01:15","48615","49220"
"03.03.2016 01:15 - 03.03.2016 01:30","47973","48702"
"03.03.2016 01:30 - 03.03.2016 01:45","47833","48593"
"03.03.2016 01:45 - 03.03.2016 02:00","47708","48333"
"03.03.2016 02:00 - 03.03.2016 02:15","47368","47888"
"03.03.2016 02:15 - 03.03.2016 02:30","47270","47985"
"03.03.2016 02:30 - 03.03.2016 02:45","47131","47909"
"03.03.2016 02:45 - 03.03.2016 03:00","47162","48010"
"03.03.2016 03:00 - 03.03.2016 03:15","47294","48011"
"03.03.2016 03:15 - 03.03.2016 03:30","47470","48182"
"03.03.2016 03:30 - 03.03.2016 03:45","47632","48146"
"03.03.2016 03:45 - 03.03.2016 04:00","47557","48364"
"03.03.2016 04:00 - 03.03.2016 04:15","48161","49147"
"03.03.2016 04:15 - 03.03.2016 04:30","48321","49455"
"03.03.2016 04:30 - 03.03.2016 04:45","48643","50082"
"03.03.2016 04:45 - 03.03.2016 05:00","49061","50851"
"03.03.2016 05:00 - 03.03.2016 05:15","50620","52011"
"03.03.2016 05:15 - 03.03.2016 05:30","50508","52366"
"03.03.2016 05:30 - 03.03.2016 05:45","52111","53639"
"03.03.2016 05:45 - 03.03.2016 06:00","53291","54997"
"03.03.2016 06:00 - 03.03.2016 06:15","55968","57682"
"03.03.2016 06:15 - 03.03.2016 06:30","58461","60116"
"03.03.2016 06:30 - 03.03.2016 06:45","60862","62301"
"03.03.2016 06:45 - 03.03.2016 07:00","62385","63795"
"03.03.2016 07:00 - 03.03.2016 07:15","63876","65404"
"03.03.2016 07:15 - 03.03.2016 07:30","64452","66370"
"03.03.2016 07:30 - 03.03.2016 07:45","65348","67406"
"03.03.2016 07:45 - 03.03.2016 08:00","65605","67832"
"03.03.2016 08:00 - 03.03.2016 08:15","66817","68438"
"03.03.2016 08:15 - 03.03.2016 08:30","67026","68601"
"03.03.2016 08:30 - 03.03.2016 08:45","66861","68902"
"03.03.2016 08:45 - 03.03.2016 09:00","66980","69077"
"03.03.2016 09:00 - 03.03.2016 09:15","67039","68865"
"03.03.2016 09:15 - 03.03.2016 09:30","67143","69063"
"03.03.2016 09:30 - 03.03.2016 09:45","67539","69547"
"03.03.2016 09:45 - 03.03.2016 10:00","67834","69471"
"03.03.2016 10:00 - 03.03.2016 10:15","68354","69754"
"03.03.2016 10:15 - 03.03.2016 10:30","68112","69891"
"03.03.2016 10:30 - 03.03.2016 10:45","68482","70144"
"03.03.2016 10:45 - 03.03.2016 11:00","68659","70511"
"03.03.2016 11:00 - 03.03.2016 11:15","69150","70613"
"03.03.2016 11:15 - 03.03.2016 11:30","69414","70985"
"03.03.2016 11:30 - 03.03.2016 11:45","69530","71140"
"03.03.2016 11:45 - 03.03.2016 12:00","69316","70661"
"03.03.2016 12:00 - 03.03.2016 12:15","68972","70204"
"03.03.2016 12:15 - 03.03.2016 12:30","68458","70043"
"03.03.2016 12:30 - 03.03.2016 12:45","68240","70441"
"03.03.2016 12:45 - 03.03.2016 13:00","68976","70272"
"03.03.2016 13:00 - 03.03.2016 13:15","68833","70315"
"03.03.2016 13:15 - 03.03.2016 13:30","68164","70096"
"03.03.2016 13:30 - 03.03.2016 13:45","67883","69561"
"03.03.2016 13:45 - 03.03.2016 14:00","67100","68731"
"03.03.2016 14:00 - 03.03.2016 14:15","66605","69080"
"03.03.2016 14:15 - 03.03.2016 14:30","66366","68647"
"03.03.2016 14:30 - 03.03.2016 14:45","66625","68672"
"03.03.2016 14:45 - 03.03.2016 15:00","66490","68209"
"03.03.2016 15:00 - 03.03.2016 15:15","65874","68305"
"03.03.2016 15:15 - 03.03.2016 15:30","65599","67924"
"03.03.2016 15:30 - 03.03.2016 15:45","65514","67434"
"03.03.2016 15:45 - 03.03.2016 16:00","64519","66586"
"03.03.2016 16:00 - 03.03.2016 16:15","65079","66153"
"03.03.2016 16:15 - 03.03.2016 16:30","64384","65727"
"03.03.2016 16:30 - 03.03.2016 16:45","64505","65609"
"03.03.2016 16:45 - 03.03.2016 17:00","65069","65659"
"03.03.2016 17:00 - 03.03.2016 17:15","65071","66088"
"03.03.2016 17:15 - 03.03.2016 17:30","65403","66057"
"03.03.2016 17:30 - 03.03.2016 17:45","66259","66587"
"03.03.2016 17:45 - 03.03.2016 18:00","66806","67370"
"03.03.2016 18:00 - 03.03.2016 18:15","66931","68042"
"03.03.2016 18:15 - 03.03.2016 18:30","67984","69065"
"03.03.2016 18:30 - 03.03.2016 18:45","68867","70059"
"03.03.2016 18:45 - 03.03.2016 19:00","69297","70498"
"03.03.2016 19:00 - 03.03.2016 19:15","69606","70382"
"03.03.2016 19:15 - 03.03.2016 19:30","68515","69370"
"03.03.2016 19:30 - 03.03.2016 19:45","67992","68980"
"03.03.2016 19:45 - 03.03.2016 20:00","67707","68330"
"03.03.2016 20:00 - 03.03.2016 20:15","66168","67147"
"03.03.2016 20:15 - 03.03.2016 20:30","64602","65866"
"03.03.2016 20:30 - 03.03.2016 20:45","63091","64700"
"03.03.2016 20:45 - 03.03.2016 21:00","62446","63632"
"03.03.2016 21:00 - 03.03.2016 21:15","61277","62971"
"03.03.2016 21:15 - 03.03.2016 21:30","60691","62171"
"03.03.2016 21:30 - 03.03.2016 21:45","60060","61351"
"03.03.2016 21:45 - 03.03.2016 22:00","59129","60666"
"03.03.2016 22:00 - 03.03.2016 22:15","59018","60307"
"03.03.2016 22:15 - 03.03.2016 22:30","58360","59442"
"03.03.2016 22:30 - 03.03.2016 22:45","57024","58452"
"03.03.2016 22:45 - 03.03.2016 23:00","56025","57406"
"03.03.2016 23:00 - 03.03.2016 23:15","54664","56092"
"03.03.2016 23:15 - 03.03.2016 23:30","53892","55132"
"03.03.2016 23:30 - 03.03.2016 23:45","52661","54345"
"03.03.2016 23:45 - 04.03.2016 00:00","52362","53378"
"04.03.2016 00:00 - 04.03.2016 00:15","51106","52168"
"04.03.2016 00:15 - 04.03.2016 00:30","50100","51569"
"04.03.2016 00:30 - 04.03.2016 00:45","49623","50849"
"04.03.2016 00:45 - 04.03.2016 01:00","49063","50482"
"04.03.2016 01:00 - 04.03.2016 01:15","48482","49695"
"04.03.2016 01:15 - 04.03.2016 01:30","47936","49331"
"04.03.2016 01:30 - 04.03.2016 01:45","47955","49206"
"04.03.2016 01:45 - 04.03.2016 02:00","47808","49066"
"04.03.2016 02:00 - 04.03.2016 02:15","47553","48631"
"04.03.2016 02:15 - 04.03.2016 02:30","47195","48289"
"04.03.2016 02:30 - 04.03.2016 02:45","47088","48448"
"04.03.2016 02:45 - 04.03.2016 03:00","47120","48587"
"04.03.2016 03:00 - 04.03.2016 03:15","47311","48601"
"04.03.2016 03:15 - 04.03.2016 03:30","47355","48523"
"04.03.2016 03:30 - 04.03.2016 03:45","47255","48705"
"04.03.2016 03:45 - 04.03.2016 04:00","47501","48725"
"04.03.2016 04:00 - 04.03.2016 04:15","47859","49243"
"04.03.2016 04:15 - 04.03.2016 04:30","48300","49561"
"04.03.2016 04:30 - 04.03.2016 04:45","48386","50209"
"04.03.2016 04:45 - 04.03.2016 05:00","48930","50924"
"04.03.2016 05:00 - 04.03.2016 05:15","50185","51791"
"04.03.2016 05:15 - 04.03.2016 05:30","50383","52398"
"04.03.2016 05:30 - 04.03.2016 05:45","51640","53374"
"04.03.2016 05:45 - 04.03.2016 06:00","52826","54760"
"04.03.2016 06:00 - 04.03.2016 06:15","55458","57456"
"04.03.2016 06:15 - 04.03.2016 06:30","57759","59901"
"04.03.2016 06:30 - 04.03.2016 06:45","59955","61765"
"04.03.2016 06:45 - 04.03.2016 07:00","61379","62953"
"04.03.2016 07:00 - 04.03.2016 07:15","62775","64528"
"04.03.2016 07:15 - 04.03.2016 07:30","63321","64986"
"04.03.2016 07:30 - 04.03.2016 07:45","64527","65562"
"04.03.2016 07:45 - 04.03.2016 08:00","64627","66467"
"04.03.2016 08:00 - 04.03.2016 08:15","66203","67609"
"04.03.2016 08:15 - 04.03.2016 08:30","66345","67788"
"04.03.2016 08:30 - 04.03.2016 08:45","66325","68170"
"04.03.2016 08:45 - 04.03.2016 09:00","66734","68337"
"04.03.2016 09:00 - 04.03.2016 09:15","66632","68446"
"04.03.2016 09:15 - 04.03.2016 09:30","66464","66829"
"04.03.2016 09:30 - 04.03.2016 09:45","67159","68395"
"04.03.2016 09:45 - 04.03.2016 10:00","67248","69412"
"04.03.2016 10:00 - 04.03.2016 10:15","67711","69480"
"04.03.2016 10:15 - 04.03.2016 10:30","67595","69648"
"04.03.2016 10:30 - 04.03.2016 10:45","68124","69829"
"04.03.2016 10:45 - 04.03.2016 11:00","68101","69976"
"04.03.2016 11:00 - 04.03.2016 11:15","68263","70092"
"04.03.2016 11:15 - 04.03.2016 11:30","68544","70342"
"04.03.2016 11:30 - 04.03.2016 11:45","68437","70236"
"04.03.2016 11:45 - 04.03.2016 12:00","68486","70017"
"04.03.2016 12:00 - 04.03.2016 12:15","67487","69805"
"04.03.2016 12:15 - 04.03.2016 12:30","67653","69673"
"04.03.2016 12:30 - 04.03.2016 12:45","67053","69382"
"04.03.2016 12:45 - 04.03.2016 13:00","67362","69659"
"04.03.2016 13:00 - 04.03.2016 13:15","66840","69810"
"04.03.2016 13:15 - 04.03.2016 13:30","66111","69297"
"04.03.2016 13:30 - 04.03.2016 13:45","65926","68853"
"04.03.2016 13:45 - 04.03.2016 14:00","65204","68368"
"04.03.2016 14:00 - 04.03.2016 14:15","64637","68400"
"04.03.2016 14:15 - 04.03.2016 14:30","64247","68021"
"04.03.2016 14:30 - 04.03.2016 14:45","64398","67736"
"04.03.2016 14:45 - 04.03.2016 15:00","64332","67329"
"04.03.2016 15:00 - 04.03.2016 15:15","63775","67073"
"04.03.2016 15:15 - 04.03.2016 15:30","63913","67066"
"04.03.2016 15:30 - 04.03.2016 15:45","63822","66641"
"04.03.2016 15:45 - 04.03.2016 16:00","62639","66234"
"04.03.2016 16:00 - 04.03.2016 16:15","63101","66227"
"04.03.2016 16:15 - 04.03.2016 16:30","62396","65790"
"04.03.2016 16:30 - 04.03.2016 16:45","62357","65463"
"04.03.2016 16:45 - 04.03.2016 17:00","63087","65427"
"04.03.2016 17:00 - 04.03.2016 17:15","63674","65606"
"04.03.2016 17:15 - 04.03.2016 17:30","63687","65650"
"04.03.2016 17:30 - 04.03.2016 17:45","64361","66153"
"04.03.2016 17:45 - 04.03.2016 18:00","64995","66762"
"04.03.2016 18:00 - 04.03.2016 18:15","64999","67416"
"04.03.2016 18:15 - 04.03.2016 18:30","66242","68496"
"04.03.2016 18:30 - 04.03.2016 18:45","66883","69139"
"04.03.2016 18:45 - 04.03.2016 19:00","67109","69330"
"04.03.2016 19:00 - 04.03.2016 19:15","67452","68993"
"04.03.2016 19:15 - 04.03.2016 19:30","66255","68067"
"04.03.2016 19:30 - 04.03.2016 19:45","65662","67028"
"04.03.2016 19:45 - 04.03.2016 20:00","65165","66503"
"04.03.2016 20:00 - 04.03.2016 20:15","63840","65279"
"04.03.2016 20:15 - 04.03.2016 20:30","62458","63924"
"04.03.2016 20:30 - 04.03.2016 20:45","61078","62766"
"04.03.2016 20:45 - 04.03.2016 21:00","60396","61431"
"04.03.2016 21:00 - 04.03.2016 21:15","58919","60487"
"04.03.2016 21:15 - 04.03.2016 21:30","58526","59612"
"04.03.2016 21:30 - 04.03.2016 21:45","58063","58795"
"04.03.2016 21:45 - 04.03.2016 22:00","57282","57946"
"04.03.2016 22:00 - 04.03.2016 22:15","57122","57959"
"04.03.2016 22:15 - 04.03.2016 22:30","56621","57260"
"04.03.2016 22:30 - 04.03.2016 22:45","55799","56501"
"04.03.2016 22:45 - 04.03.2016 23:00","54589","55521"
"04.03.2016 23:00 - 04.03.2016 23:15","53049","54202"
"04.03.2016 23:15 - 04.03.2016 23:30","52189","52992"
"04.03.2016 23:30 - 04.03.2016 23:45","51250","52348"
"04.03.2016 23:45 - 05.03.2016 00:00","50320","51179"
"05.03.2016 00:00 - 05.03.2016 00:15","48919","50639"
"05.03.2016 00:15 - 05.03.2016 00:30","48143","49675"
"05.03.2016 00:30 - 05.03.2016 00:45","47671","49139"
"05.03.2016 00:45 - 05.03.2016 01:00","47085","48365"
"05.03.2016 01:00 - 05.03.2016 01:15","46410","47824"
"05.03.2016 01:15 - 05.03.2016 01:30","45886","47176"
"05.03.2016 01:30 - 05.03.2016 01:45","45801","46986"
"05.03.2016 01:45 - 05.03.2016 02:00","45734","46599"
"05.03.2016 02:00 - 05.03.2016 02:15","45337","45987"
"05.03.2016 02:15 - 05.03.2016 02:30","44895","45620"
"05.03.2016 02:30 - 05.03.2016 02:45","44752","45924"
"05.03.2016 02:45 - 05.03.2016 03:00","44817","45656"
"05.03.2016 03:00 - 05.03.2016 03:15","44921","45858"
"05.03.2016 03:15 - 05.03.2016 03:30","44780","45668"
"05.03.2016 03:30 - 05.03.2016 03:45","44824","45750"
"05.03.2016 03:45 - 05.03.2016 04:00","44965","45656"
"05.03.2016 04:00 - 05.03.2016 04:15","44898","45688"
"05.03.2016 04:15 - 05.03.2016 04:30","44939","45808"
"05.03.2016 04:30 - 05.03.2016 04:45","44943","45876"
"05.03.2016 04:45 - 05.03.2016 05:00","44910","45664"
"05.03.2016 05:00 - 05.03.2016 05:15","45513","45477"
"05.03.2016 05:15 - 05.03.2016 05:30","44772","45636"
"05.03.2016 05:30 - 05.03.2016 05:45","45141","45436"
"05.03.2016 05:45 - 05.03.2016 06:00","45137","45239"
"05.03.2016 06:00 - 05.03.2016 06:15","45191","45524"
"05.03.2016 06:15 - 05.03.2016 06:30","45875","45988"
"05.03.2016 06:30 - 05.03.2016 06:45","46447","46517"
"05.03.2016 06:45 - 05.03.2016 07:00","47375","47176"
"05.03.2016 07:00 - 05.03.2016 07:15","47937","47778"
"05.03.2016 07:15 - 05.03.2016 07:30","48247","48676"
"05.03.2016 07:30 - 05.03.2016 07:45","49353","49634"
"05.03.2016 07:45 - 05.03.2016 08:00","49859","50423"
"05.03.2016 08:00 - 05.03.2016 08:15","51031","51557"
"05.03.2016 08:15 - 05.03.2016 08:30","51665","52759"
"05.03.2016 08:30 - 05.03.2016 08:45","52425","53716"
"05.03.2016 08:45 - 05.03.2016 09:00","52954","54535"
"05.03.2016 09:00 - 05.03.2016 09:15","53618","55308"
"05.03.2016 09:15 - 05.03.2016 09:30","54554","55751"
"05.03.2016 09:30 - 05.03.2016 09:45","54915","56547"
"05.03.2016 09:45 - 05.03.2016 10:00","55311","57075"
"05.03.2016 10:00 - 05.03.2016 10:15","55804","57335"
"05.03.2016 10:15 - 05.03.2016 10:30","56085","57523"
"05.03.2016 10:30 - 05.03.2016 10:45","56150","57878"
"05.03.2016 10:45 - 05.03.2016 11:00","56394","57897"
"05.03.2016 11:00 - 05.03.2016 11:15","56663","57810"
"05.03.2016 11:15 - 05.03.2016 11:30","56860","58151"
"05.03.2016 11:30 - 05.03.2016 11:45","57230","58370"
"05.03.2016 11:45 - 05.03.2016 12:00","56719","58211"
"05.03.2016 12:00 - 05.03.2016 12:15","56263","57791"
"05.03.2016 12:15 - 05.03.2016 12:30","56438","57876"
"05.03.2016 12:30 - 05.03.2016 12:45","55877","57968"
"05.03.2016 12:45 - 05.03.2016 13:00","55328","57559"
"05.03.2016 13:00 - 05.03.2016 13:15","55403","57344"
"05.03.2016 13:15 - 05.03.2016 13:30","54559","56775"
"05.03.2016 13:30 - 05.03.2016 13:45","54305","56303"
"05.03.2016 13:45 - 05.03.2016 14:00","53336","55340"
"05.03.2016 14:00 - 05.03.2016 14:15","52832","55061"
"05.03.2016 14:15 - 05.03.2016 14:30","52653","54681"
"05.03.2016 14:30 - 05.03.2016 14:45","52428","54562"
"05.03.2016 14:45 - 05.03.2016 15:00","52390","54362"
"05.03.2016 15:00 - 05.03.2016 15:15","52381","54268"
"05.03.2016 15:15 - 05.03.2016 15:30","51864","54231"
"05.03.2016 15:30 - 05.03.2016 15:45","51743","53843"
"05.03.2016 15:45 - 05.03.2016 16:00","51888","53611"
"05.03.2016 16:00 - 05.03.2016 16:15","51907","53630"
"05.03.2016 16:15 - 05.03.2016 16:30","52133","53691"
"05.03.2016 16:30 - 05.03.2016 16:45","52222","53551"
"05.03.2016 16:45 - 05.03.2016 17:00","51768","53765"
"05.03.2016 17:00 - 05.03.2016 17:15","52243","54216"
"05.03.2016 17:15 - 05.03.2016 17:30","53292","54756"
"05.03.2016 17:30 - 05.03.2016 17:45","54052","55579"
"05.03.2016 17:45 - 05.03.2016 18:00","54966","56246"
"05.03.2016 18:00 - 05.03.2016 18:15","55465","57066"
"05.03.2016 18:15 - 05.03.2016 18:30","57210","57819"
"05.03.2016 18:30 - 05.03.2016 18:45","57307","58763"
"05.03.2016 18:45 - 05.03.2016 19:00","57656","58835"
"05.03.2016 19:00 - 05.03.2016 19:15","58078","58189"
"05.03.2016 19:15 - 05.03.2016 19:30","56962","57822"
"05.03.2016 19:30 - 05.03.2016 19:45","56422","57145"
"05.03.2016 19:45 - 05.03.2016 20:00","56790","56349"
"05.03.2016 20:00 - 05.03.2016 20:15","55222","55529"
"05.03.2016 20:15 - 05.03.2016 20:30","53712","54093"
"05.03.2016 20:30 - 05.03.2016 20:45","52697","53362"
"05.03.2016 20:45 - 05.03.2016 21:00","51944","52487"
"05.03.2016 21:00 - 05.03.2016 21:15","51191","52064"
"05.03.2016 21:15 - 05.03.2016 21:30","50897","51612"
"05.03.2016 21:30 - 05.03.2016 21:45","50796","51003"
"05.03.2016 21:45 - 05.03.2016 22:00","50459","50700"
"05.03.2016 22:00 - 05.03.2016 22:15","50584","51177"
"05.03.2016 22:15 - 05.03.2016 22:30","50341","50830"
"05.03.2016 22:30 - 05.03.2016 22:45","49520","49858"
"05.03.2016 22:45 - 05.03.2016 23:00","48955","49348"
"05.03.2016 23:00 - 05.03.2016 23:15","47420","48631"
"05.03.2016 23:15 - 05.03.2016 23:30","47215","48024"
"05.03.2016 23:30 - 05.03.2016 23:45","45770","47188"
"05.03.2016 23:45 - 06.03.2016 00:00","45160","46522"
"06.03.2016 00:00 - 06.03.2016 00:15","44116","45641"
"06.03.2016 00:15 - 06.03.2016 00:30","43470","44972"
"06.03.2016 00:30 - 06.03.2016 00:45","42918","44136"
"06.03.2016 00:45 - 06.03.2016 01:00","42178","43712"
"06.03.2016 01:00 - 06.03.2016 01:15","41729","42972"
"06.03.2016 01:15 - 06.03.2016 01:30","41373","42463"
"06.03.2016 01:30 - 06.03.2016 01:45","40961","42102"
"06.03.2016 01:45 - 06.03.2016 02:00","40806","42171"
"06.03.2016 02:00 - 06.03.2016 02:15","40477","41740"
"06.03.2016 02:15 - 06.03.2016 02:30","40327","41404"
"06.03.2016 02:30 - 06.03.2016 02:45","40101","41122"
"06.03.2016 02:45 - 06.03.2016 03:00","39952","41160"
"06.03.2016 03:00 - 06.03.2016 03:15","39831","41221"
"06.03.2016 03:15 - 06.03.2016 03:30","39993","41302"
"06.03.2016 03:30 - 06.03.2016 03:45","39932","41331"
"06.03.2016 03:45 - 06.03.2016 04:00","39848","41301"
"06.03.2016 04:00 - 06.03.2016 04:15","40038","41126"
"06.03.2016 04:15 - 06.03.2016 04:30","40034","41297"
"06.03.2016 04:30 - 06.03.2016 04:45","40280","41539"
"06.03.2016 04:45 - 06.03.2016 05:00","40294","41566"
"06.03.2016 05:00 - 06.03.2016 05:15","40650","41329"
"06.03.2016 05:15 - 06.03.2016 05:30","40194","41047"
"06.03.2016 05:30 - 06.03.2016 05:45","40069","40919"
"06.03.2016 05:45 - 06.03.2016 06:00","40230","40688"
"06.03.2016 06:00 - 06.03.2016 06:15","39885","40196"
"06.03.2016 06:15 - 06.03.2016 06:30","40173","40481"
"06.03.2016 06:30 - 06.03.2016 06:45","40716","40613"
"06.03.2016 06:45 - 06.03.2016 07:00","41215","40688"
"06.03.2016 07:00 - 06.03.2016 07:15","41138","40767"
"06.03.2016 07:15 - 06.03.2016 07:30","41567","41355"
"06.03.2016 07:30 - 06.03.2016 07:45","42330","42106"
"06.03.2016 07:45 - 06.03.2016 08:00","42872","43211"
"06.03.2016 08:00 - 06.03.2016 08:15","43750","44394"
"06.03.2016 08:15 - 06.03.2016 08:30","44657","45371"
"06.03.2016 08:30 - 06.03.2016 08:45","45482","46101"
"06.03.2016 08:45 - 06.03.2016 09:00","46329","47207"
"06.03.2016 09:00 - 06.03.2016 09:15","47168","48284"
"06.03.2016 09:15 - 06.03.2016 09:30","48085","49065"
"06.03.2016 09:30 - 06.03.2016 09:45","48773","49607"
"06.03.2016 09:45 - 06.03.2016 10:00","49020","50421"
"06.03.2016 10:00 - 06.03.2016 10:15","49594","51058"
"06.03.2016 10:15 - 06.03.2016 10:30","50260","51442"
"06.03.2016 10:30 - 06.03.2016 10:45","50884","51820"
"06.03.2016 10:45 - 06.03.2016 11:00","51279","52346"
"06.03.2016 11:00 - 06.03.2016 11:15","52084","53132"
"06.03.2016 11:15 - 06.03.2016 11:30","52578","53761"
"06.03.2016 11:30 - 06.03.2016 11:45","53129","54452"
"06.03.2016 11:45 - 06.03.2016 12:00","52974","54462"
