"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"02.01.2016 00:30 - 02.01.2016 00:45","39889","38761"
"02.01.2016 00:45 - 02.01.2016 01:00","39590","38245"
"02.01.2016 01:00 - 02.01.2016 01:15","39343","37866"
"02.01.2016 01:15 - 02.01.2016 01:30","38719","37278"
"02.01.2016 01:30 - 02.01.2016 01:45","38790","37124"
"02.01.2016 01:45 - 02.01.2016 02:00","38565","36919"
"02.01.2016 02:00 - 02.01.2016 02:15","38325","36633"
"02.01.2016 02:15 - 02.01.2016 02:30","37484","36474"
"02.01.2016 02:30 - 02.01.2016 02:45","37764","36341"
"02.01.2016 02:45 - 02.01.2016 03:00","37469","36286"
"02.01.2016 03:00 - 02.01.2016 03:15","37546","36284"
"02.01.2016 03:15 - 02.01.2016 03:30","37074","36213"
"02.01.2016 03:30 - 02.01.2016 03:45","37074","36187"
"02.01.2016 03:45 - 02.01.2016 04:00","37320","36345"
"02.01.2016 04:00 - 02.01.2016 04:15","36827","36646"
"02.01.2016 04:15 - 02.01.2016 04:30","37584","36755"
"02.01.2016 04:30 - 02.01.2016 04:45","36746","36946"
"02.01.2016 04:45 - 02.01.2016 05:00","36820","37164"
"02.01.2016 05:00 - 02.01.2016 05:15","37007","37462"
"02.01.2016 05:15 - 02.01.2016 05:30","36606","37472"
"02.01.2016 05:30 - 02.01.2016 05:45","36732","37697"
"02.01.2016 05:45 - 02.01.2016 06:00","36746","37974"
"02.01.2016 06:00 - 02.01.2016 06:15","36388","38209"
"02.01.2016 06:15 - 02.01.2016 06:30","35902","38328"
"02.01.2016 06:30 - 02.01.2016 06:45","36371","38748"
"02.01.2016 06:45 - 02.01.2016 07:00","37091","39446"
"02.01.2016 07:00 - 02.01.2016 07:15","37640","40442"
"02.01.2016 07:15 - 02.01.2016 07:30","38186","41048"
"02.01.2016 07:30 - 02.01.2016 07:45","39570","41802"
"02.01.2016 07:45 - 02.01.2016 08:00","40211","43017"
"02.01.2016 08:00 - 02.01.2016 08:15","41071","44055"
"02.01.2016 08:15 - 02.01.2016 08:30","41168","44955"
"02.01.2016 08:30 - 02.01.2016 08:45","42081","45554"
"02.01.2016 08:45 - 02.01.2016 09:00","42614","46569"
"02.01.2016 09:00 - 02.01.2016 09:15","43595","47877"
"02.01.2016 09:15 - 02.01.2016 09:30","44506","48663"
"02.01.2016 09:30 - 02.01.2016 09:45","44963","49583"
"02.01.2016 09:45 - 02.01.2016 10:00","45907","50207"
"02.01.2016 10:00 - 02.01.2016 10:15","46135","51023"
"02.01.2016 10:15 - 02.01.2016 10:30","46861","51346"
"02.01.2016 10:30 - 02.01.2016 10:45","46943","51718"
"02.01.2016 10:45 - 02.01.2016 11:00","47154","51985"
"02.01.2016 11:00 - 02.01.2016 11:15","47968","52607"
"02.01.2016 11:15 - 02.01.2016 11:30","48275","53178"
"02.01.2016 11:30 - 02.01.2016 11:45","48984","53733"
"02.01.2016 11:45 - 02.01.2016 12:00","49055","53938"
"02.01.2016 12:00 - 02.01.2016 12:15","48913","53943"
"02.01.2016 12:15 - 02.01.2016 12:30","48461","53886"
"02.01.2016 12:30 - 02.01.2016 12:45","48227","54061"
"02.01.2016 12:45 - 02.01.2016 13:00","48154","53743"
"02.01.2016 13:00 - 02.01.2016 13:15","47321","53490"
"02.01.2016 13:15 - 02.01.2016 13:30","47141","53138"
"02.01.2016 13:30 - 02.01.2016 13:45","46856","52992"
"02.01.2016 13:45 - 02.01.2016 14:00","46226","52767"
"02.01.2016 14:00 - 02.01.2016 14:15","45825","52784"
"02.01.2016 14:15 - 02.01.2016 14:30","45218","52739"
"02.01.2016 14:30 - 02.01.2016 14:45","45034","52524"
"02.01.2016 14:45 - 02.01.2016 15:00","45050","52403"
"02.01.2016 15:00 - 02.01.2016 15:15","44934","52667"
"02.01.2016 15:15 - 02.01.2016 15:30","45434","52687"
"02.01.2016 15:30 - 02.01.2016 15:45","44663","52760"
"02.01.2016 15:45 - 02.01.2016 16:00","45169","52885"
"02.01.2016 16:00 - 02.01.2016 16:15","44804","53541"
"02.01.2016 16:15 - 02.01.2016 16:30","46263","54015"
"02.01.2016 16:30 - 02.01.2016 16:45","47354","54782"
"02.01.2016 16:45 - 02.01.2016 17:00","48520","55815"
"02.01.2016 17:00 - 02.01.2016 17:15","49979","56776"
"02.01.2016 17:15 - 02.01.2016 17:30","50476","57377"
"02.01.2016 17:30 - 02.01.2016 17:45","51457","57839"
"02.01.2016 17:45 - 02.01.2016 18:00","51466","58158"
"02.01.2016 18:00 - 02.01.2016 18:15","51731","58273"
"02.01.2016 18:15 - 02.01.2016 18:30","52246","58223"
"02.01.2016 18:30 - 02.01.2016 18:45","51895","57914"
"02.01.2016 18:45 - 02.01.2016 19:00","51359","57422"
"02.01.2016 19:00 - 02.01.2016 19:15","51694","57376"
"02.01.2016 19:15 - 02.01.2016 19:30","50474","56739"
"02.01.2016 19:30 - 02.01.2016 19:45","50121","56368"
"02.01.2016 19:45 - 02.01.2016 20:00","50321","55810"
"02.01.2016 20:00 - 02.01.2016 20:15","48964","54672"
"02.01.2016 20:15 - 02.01.2016 20:30","47766","53510"
"02.01.2016 20:30 - 02.01.2016 20:45","47190","52599"
"02.01.2016 20:45 - 02.01.2016 21:00","46000","51716"
"02.01.2016 21:00 - 02.01.2016 21:15","45959","51220"
"02.01.2016 21:15 - 02.01.2016 21:30","45187","51014"
"02.01.2016 21:30 - 02.01.2016 21:45","45138","50451"
"02.01.2016 21:45 - 02.01.2016 22:00","45007","50308"
"02.01.2016 22:00 - 02.01.2016 22:15","45420","50785"
"02.01.2016 22:15 - 02.01.2016 22:30","45927","50327"
"02.01.2016 22:30 - 02.01.2016 22:45","45306","49711"
"02.01.2016 22:45 - 02.01.2016 23:00","44773","49028"
"02.01.2016 23:00 - 02.01.2016 23:15","44100","48338"
"02.01.2016 23:15 - 02.01.2016 23:30","43727","47676"
"02.01.2016 23:30 - 02.01.2016 23:45","42423","46775"
"02.01.2016 23:45 - 03.01.2016 00:00","41373","45892"
"03.01.2016 00:00 - 03.01.2016 00:15","40019","45164"
"03.01.2016 00:15 - 03.01.2016 00:30","39347","44315"
"03.01.2016 00:30 - 03.01.2016 00:45","38919","43369"
"03.01.2016 00:45 - 03.01.2016 01:00","38448","42723"
"03.01.2016 01:00 - 03.01.2016 01:15","38007","41988"
"03.01.2016 01:15 - 03.01.2016 01:30","37516","41599"
"03.01.2016 01:30 - 03.01.2016 01:45","37409","41041"
"03.01.2016 01:45 - 03.01.2016 02:00","37156","40703"
"03.01.2016 02:00 - 03.01.2016 02:15","36786","40574"
"03.01.2016 02:15 - 03.01.2016 02:30","36517","40240"
"03.01.2016 02:30 - 03.01.2016 02:45","36317","40007"
"03.01.2016 02:45 - 03.01.2016 03:00","35943","39943"
"03.01.2016 03:00 - 03.01.2016 03:15","35860","39776"
"03.01.2016 03:15 - 03.01.2016 03:30","35824","39781"
"03.01.2016 03:30 - 03.01.2016 03:45","35846","39803"
"03.01.2016 03:45 - 03.01.2016 04:00","35653","39572"
"03.01.2016 04:00 - 03.01.2016 04:15","35724","39686"
"03.01.2016 04:15 - 03.01.2016 04:30","35832","39637"
"03.01.2016 04:30 - 03.01.2016 04:45","35441","39777"
"03.01.2016 04:45 - 03.01.2016 05:00","35617","39578"
"03.01.2016 05:00 - 03.01.2016 05:15","35611","39630"
"03.01.2016 05:15 - 03.01.2016 05:30","35205","39327"
"03.01.2016 05:30 - 03.01.2016 05:45","34932","39082"
"03.01.2016 05:45 - 03.01.2016 06:00","34333","38734"
"03.01.2016 06:00 - 03.01.2016 06:15","33778","38262"
"03.01.2016 06:15 - 03.01.2016 06:30","33538","38446"
"03.01.2016 06:30 - 03.01.2016 06:45","33917","38697"
"03.01.2016 06:45 - 03.01.2016 07:00","33732","39037"
"03.01.2016 07:00 - 03.01.2016 07:15","34937","39385"
"03.01.2016 07:15 - 03.01.2016 07:30","35104","39665"
"03.01.2016 07:30 - 03.01.2016 07:45","35888","40564"
"03.01.2016 07:45 - 03.01.2016 08:00","36631","41252"
"03.01.2016 08:00 - 03.01.2016 08:15","37132","41865"
"03.01.2016 08:15 - 03.01.2016 08:30","37792","42490"
"03.01.2016 08:30 - 03.01.2016 08:45","38237","43003"
"03.01.2016 08:45 - 03.01.2016 09:00","39122","43671"
"03.01.2016 09:00 - 03.01.2016 09:15","40224","44776"
"03.01.2016 09:15 - 03.01.2016 09:30","40930","45531"
"03.01.2016 09:30 - 03.01.2016 09:45","41508","46414"
"03.01.2016 09:45 - 03.01.2016 10:00","42375","47102"
"03.01.2016 10:00 - 03.01.2016 10:15","42784","47934"
"03.01.2016 10:15 - 03.01.2016 10:30","43810","48628"
"03.01.2016 10:30 - 03.01.2016 10:45","44165","49173"
"03.01.2016 10:45 - 03.01.2016 11:00","44669","50047"
"03.01.2016 11:00 - 03.01.2016 11:15","45200","50664"
"03.01.2016 11:15 - 03.01.2016 11:30","45919","51559"
"03.01.2016 11:30 - 03.01.2016 11:45","46458","52434"
"03.01.2016 11:45 - 03.01.2016 12:00","46449","52418"
"03.01.2016 12:00 - 03.01.2016 12:15","46657","52324"
"03.01.2016 12:15 - 03.01.2016 12:30","46203","52152"
"03.01.2016 12:30 - 03.01.2016 12:45","46017","51749"
"03.01.2016 12:45 - 03.01.2016 13:00","45467","51194"
"03.01.2016 13:00 - 03.01.2016 13:15","44970","50840"
"03.01.2016 13:15 - 03.01.2016 13:30","44481","50440"
"03.01.2016 13:30 - 03.01.2016 13:45","44105","50279"
"03.01.2016 13:45 - 03.01.2016 14:00","43878","49647"
"03.01.2016 14:00 - 03.01.2016 14:15","43422","49521"
"03.01.2016 14:15 - 03.01.2016 14:30","43276","49203"
"03.01.2016 14:30 - 03.01.2016 14:45","43545","48855"
"03.01.2016 14:45 - 03.01.2016 15:00","42710","48412"
"03.01.2016 15:00 - 03.01.2016 15:15","42750","48875"
"03.01.2016 15:15 - 03.01.2016 15:30","42349","48839"
"03.01.2016 15:30 - 03.01.2016 15:45","42750","49116"
"03.01.2016 15:45 - 03.01.2016 16:00","43171","49164"
"03.01.2016 16:00 - 03.01.2016 16:15","43113","49568"
"03.01.2016 16:15 - 03.01.2016 16:30","43776","50167"
"03.01.2016 16:30 - 03.01.2016 16:45","44656","51238"
"03.01.2016 16:45 - 03.01.2016 17:00","45437","52549"
"03.01.2016 17:00 - 03.01.2016 17:15","46805","53914"
"03.01.2016 17:15 - 03.01.2016 17:30","47980","54282"
"03.01.2016 17:30 - 03.01.2016 17:45","48876","55094"
"03.01.2016 17:45 - 03.01.2016 18:00","48751","55506"
"03.01.2016 18:00 - 03.01.2016 18:15","48904","56007"
"03.01.2016 18:15 - 03.01.2016 18:30","49161","55739"
"03.01.2016 18:30 - 03.01.2016 18:45","48945","55561"
"03.01.2016 18:45 - 03.01.2016 19:00","48345","55464"
"03.01.2016 19:00 - 03.01.2016 19:15","49398","55287"
"03.01.2016 19:15 - 03.01.2016 19:30","48359","54776"
"03.01.2016 19:30 - 03.01.2016 19:45","48318","54250"
"03.01.2016 19:45 - 03.01.2016 20:00","47888","53875"
"03.01.2016 20:00 - 03.01.2016 20:15","47442","53731"
"03.01.2016 20:15 - 03.01.2016 20:30","46349","52849"
"03.01.2016 20:30 - 03.01.2016 20:45","46076","51979"
"03.01.2016 20:45 - 03.01.2016 21:00","45487","51112"
